State,Confirmed,Recovered,Deaths,Active,Last_Updated_Time,State_code,Delta_Confirmed,Delta_Recovered,Delta_Deaths,State_Notes
Total,53049,15331,1787,35927,07/05/2020 10:12:45,TT,42,0,2,
Maharashtra,16758,3094,651,13013,07/05/2020 09:02:46,MH,0,0,0,"[05-May]<br>
- Total numbers are updated to the final figure reported for 05th May. <br>
- 796 cases added by MH govt. on 4th May due to data cleaning <br>
- 143 cases added by MH govt. on 5th May due to data cleaning <br>"
Gujarat,6625,1500,396,4729,06/05/2020 20:26:46,GJ,0,0,0,
Delhi,5532,1542,65,3925,07/05/2020 00:02:46,DL,0,0,0,
Tamil Nadu,4829,1516,35,3278,06/05/2020 21:02:46,TN,0,0,0,
Rajasthan,3355,1739,95,1521,07/05/2020 10:12:46,RJ,38,0,2,
Madhya Pradesh,3138,1099,185,1854,06/05/2020 21:32:46,MP,0,0,0,
Uttar Pradesh,2998,1130,60,1808,06/05/2020 23:06:47,UP,0,0,0,
Andhra Pradesh,1777,729,36,1012,06/05/2020 11:42:46,AP,0,0,0,
Punjab,1526,135,27,1364,06/05/2020 19:32:46,PB,0,0,0,
West Bengal,1456,265,144,1047,06/05/2020 20:02:47,WB,0,0,0,"- Cases updated as per WB bulletin as it now provides total number of cases.<br>
- Deaths due to comorbidities added to total deceased<br>
- Zones updated as per WB bulletin<br>"
Telangana,1107,648,29,430,06/05/2020 20:22:48,TG,0,0,0,
Jammu and Kashmir,775,322,8,445,06/05/2020 19:42:46,JK,0,0,0,
Karnataka,693,354,29,309,06/05/2020 17:22:46,KA,0,0,0,One active case in KA reduced as a confirmed patient died of non-CoViD19 related reasons
Haryana,594,260,7,327,06/05/2020 22:52:46,HR,0,0,0,
Bihar,542,188,4,350,06/05/2020 22:42:46,BR,0,0,0,
Kerala,503,469,4,30,06/05/2020 17:42:47,KL,0,0,0,Mahe native who expired in Kannur included in Kerala's tally
Odisha,205,61,2,142,07/05/2020 07:53:46,OR,0,0,0,
Jharkhand,127,37,3,87,06/05/2020 19:42:48,JH,0,0,0,
Chandigarh,128,21,1,106,06/05/2020 20:51:48,CH,4,0,0,
Uttarakhand,61,39,1,21,05/05/2020 15:32:46,UT,0,0,0,
Chhattisgarh,59,36,0,23,05/05/2020 23:32:46,CT,0,0,0,
Assam,46,35,1,10,06/05/2020 22:42:47,AS,0,0,0,Includes one case from Nagaland
Ladakh,42,17,0,25,03/05/2020 14:32:47,LA,0,0,0,
Himachal Pradesh,43,34,3,3,06/05/2020 16:21:46,HP,0,0,0,"HP has 4 Migrated cases which are reduced from Active #. Also, death of Tibetan refugee is included in deceased numbers, but not in confirmed"
Andaman and Nicobar Islands,33,32,0,1,03/05/2020 18:52:51,AN,0,0,0,
Tripura,64,2,0,62,06/05/2020 22:31:48,TR,0,0,0,
Meghalaya,12,10,1,1,01/05/2020 16:02:47,ML,0,0,0,
Puducherry,9,6,0,3,05/05/2020 11:12:46,PY,0,0,0,
Goa,7,7,0,0,19/04/2020 17:04:07,GA,0,0,0,
Manipur,2,2,0,0,20/04/2020 10:04:08,MN,0,0,0,
Mizoram,1,1,0,0,05/05/2020 22:32:47,MZ,0,0,0,
Arunachal Pradesh,1,1,0,0,16/04/2020 19:33:11,AR,0,0,0,
Nagaland,0,0,0,0,20/04/2020 08:45:07,NL,0,0,0,
Dadra and Nagar Haveli and Daman and Diu,1,0,0,1,05/05/2020 22:12:46,DN,0,0,0,
Daman and Diu,0,0,0,0,26/03/2020 07:19:29,DD,0,0,0,
Lakshadweep,0,0,0,0,26/03/2020 07:19:29,LD,0,0,0,
Sikkim,0,0,0,0,26/03/2020 07:19:29,SK,0,0,0,
