SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,1899,1899,0,0,279,279,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,136,40,92,4,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,208,110,97,1,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,59,16,43,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,426,90,328,8,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,396,100,280,16,0,-1,0,1,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,638,170,447,21,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,153,127,26,0,0,-1,1,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,67,4,63,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,182,75,103,4,0,0,0,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,16,11,5,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,81,33,47,1,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,16,12,4,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,75,21,54,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,107,31,76,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,,
