SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,1096,1096,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,32,0,32,0,0,0,0,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,136,40,92,4,0,0,0,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,208,110,97,1,0,0,0,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,59,16,43,0,0,0,0,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,426,90,328,8,0,0,0,0,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,396,101,280,15,0,0,0,0,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,638,170,447,21,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Other State,Other State,153,128,25,0,0,0,0,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,67,4,63,0,0,0,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,182,75,103,4,0,-1,0,1,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,16,11,5,0,0,0,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,81,33,47,1,0,0,0,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,16,12,4,0,0,0,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,75,21,54,0,0,0,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,107,31,76,0,0,0,0,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,0,0,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,0,0,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,0,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,1,0,1,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,0,0,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,0,0,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,0,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,0,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,0,0,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,0,0,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,0,0,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,0,0,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,0,0,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,0,0,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,0,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,0,0,0,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,0,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,0,0,0,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,0,0,0,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,2,2,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,5,0,5,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,14,8,6,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,0,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,0,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,1,1,0,0,1,1,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,0,0,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,7,2,5,0,2,2,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,1,1,0,0,1,1,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,0,0,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,6,2,4,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,15,6,9,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,1,0,0,1,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,10,10,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,7,5,2,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,10,9,1,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,81,76,2,3,0,0,0,0,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,0,0,0,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,5,3,2,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,6,6,0,0,4,4,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,3,2,1,0,2,2,0,0,,
65,AS,Assam,AS_Majuli,Majuli,0,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,6,0,6,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,4,4,0,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,6,2,4,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,3,3,0,0,2,2,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,8,8,0,0,5,5,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,1,0,1,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,0,0,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,1,1,0,0,1,1,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,2,2,0,0,2,2,0,0,,
75,BR,Bihar,BR_Araria,Araria,4,3,1,0,0,0,0,0,,
76,BR,Bihar,BR_Arwal,Arwal,17,13,4,0,0,0,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,26,14,12,0,0,0,0,0,,
78,BR,Bihar,BR_Banka,Banka,52,51,1,0,1,1,0,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,90,70,20,0,8,8,0,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,59,47,12,0,0,0,0,0,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,38,20,18,0,0,0,0,0,,
82,BR,Bihar,BR_Buxar,Buxar,75,19,56,0,11,11,0,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,22,17,5,0,0,0,0,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,30,20,9,1,11,11,0,0,,
84,BR,Bihar,BR_Gaya,Gaya,18,12,6,0,7,7,0,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,81,63,18,0,17,17,0,0,,
86,BR,Bihar,BR_Jamui,Jamui,15,15,0,0,0,0,0,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,108,103,5,0,50,50,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,44,12,32,0,0,0,0,0,,
89,BR,Bihar,BR_Katihar,Katihar,54,46,8,0,19,19,0,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,71,70,0,1,1,1,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,14,11,3,0,0,0,0,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,23,18,5,0,9,9,0,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,20,18,2,0,0,0,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,81,68,13,0,2,2,0,0,,
95,BR,Bihar,BR_Munger,Munger,136,43,92,1,3,3,0,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,30,24,6,0,0,0,0,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,78,30,48,0,0,0,0,0,,
98,BR,Bihar,BR_Nawada,Nawada,41,37,4,0,0,0,0,0,,
100,BR,Bihar,BR_Patna,Patna,168,120,46,2,1,1,0,0,,
102,BR,Bihar,BR_Purnia,Purnia,38,36,2,0,7,7,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,109,49,59,1,18,18,0,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,22,22,0,0,0,0,0,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,41,40,1,0,25,25,0,0,,
106,BR,Bihar,BR_Saran,Saran,14,6,8,0,0,0,0,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,37,37,0,0,13,13,0,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,5,2,3,0,0,0,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,9,4,4,1,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,45,13,32,0,0,0,0,0,,
111,BR,Bihar,BR_Supaul,Supaul,29,29,0,0,2,2,0,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,19,15,2,2,4,4,0,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,27,16,11,0,2,2,0,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,218,37,178,3,16,-26,42,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,14,14,0,0,1,1,0,0,,
